Name,Price
"Acer Nitro 5 15"" Gaming Laptop, AMD Ryzen 5 2500U Processor, AMD Radeon RX 560X Graphics, 8GB RAM, 1TB Hard Drive, AN515-42-R5ED",749
Certified Refurbished - Apple MacBook Pro Retina 15-Inch Laptop - 2.6Ghz Core i7 / 8GB RAM / 512GB SSD MC976LL/A (Grade B),869
"HP 14"" Pentium 4GB/64GB Chromebook, 14"" HD Display, Intel Pentium Silver N5000, 4GB RAM, 64GB eMMC, Intel UHD Graphics 605, 14a-na0031wm",249
"Dell Inspiron 14 5482 2-in-1 Touchscreen Laptop, 14"", Intel Core i5-8265U, 8GB RAM, 256GB SSD, Intel UHD Graphics 620, Windows 10 Home, i5482-5182SLV-PUS",799
"New Apple MacBook Air (13-inch, 1.8GHz dual-core Intel Core i5, 8GB RAM, 128GB SSD)- Silver (2017 Model)",948
"Certified Refurbished Apple MacBook Pro 13.3"" LED Intel i5-3210M Core 2.5GHz 4GB 500GB Laptop MD101LLA",496
"Refurbished - Apple MacBook Air 11.6"" LED Laptop 1.6GHz Intel i5 4GB 128GB SSD MJVM2LLA",499
Refurbished Apple MacBook Pro 15.4 Intel Core i7 2.5GHz 16GB 512GB Laptop MGXC2LL/A,865
"HP Pavilion 13.3"" FHD, Intel Core i3, 8GB RAM, 128GB SSD, Silver",571
"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14 FHD Intel Core i5-8265U, 8GBDDR4 RAM, 512GB SSD, Glossy, Touch, Fingerprint Reader,Windows 10, Star Grey,TP412FA-SB55T",599
"Omen by HP 15.6"" Gaming Laptop, Intel Core i7-9750H, NVIDIA GeForce GTX 1660 Ti 6GB, 16GB RAM, 256GB SSD, 15-dc1058wm","1,255"
"Lenovo 3 11"" Celeron 4GB/32GB Chromebook, 11.6"" HD Display, Intel Celeron N4020 Dual-Core Processor, 4GB RAM, 32GB eMMC Solid State Drive, Chrome OS - Onyx Black - 82BA0000US",169
"HP 14"" Laptop, Intel Core i3-1005G1, 4 GB SDRAM, 128 GB M.2 Solid State Drive, Natural Silver, 14-DQ1037wm",429
"HP 15.6"" Ryzen 5 8GB/256GB Laptop-Rose Gold",449
"HP Pavilion 15.6"" FHD Gaming Laptop, Intel Core i5-9300H, NVIDIA GeForce GTX 1050 (3 GB GDDR5), 8GB SDRAM, 256GB SSD, Shadow Black, Acid Green, 15-dk0068wm",848
"Acer Aspire 5, 14"" Full HD, 8th Gen Intel Core i7-8565U, 8GB DDR4, 512GB PCIe NVMe SSD, Windows 10 Home, A514-52-78MD",728
"HP 15.6"" i3 Touch 8GB/256GB Laptop-Silver",429
"HP Pavilion x360 14"" i5 2-In-1 Touch 8GB/256GB Laptop",724
"HP 14"" Ryzen 3 4GB/128GB Laptop-Silver",354
"iView MEGATRON II - 14.1"" Convertible Touchscreen Laptop (2 in 1) with Windows 10, Intel Atom Processor, 2GB memory, 32GB storage, 2MP Front Camera and 5MP Rear Camera, 10 hour battery - Black.",189
"HP X360 14"" Pentium Touch 4GB/128GB Chromebook, 14"" HD Touch Display, Intel Pentium Silver N5000, 4GB RAM, 128GB eMMC, Intel UHD Graphics 600, 14b-ca0061wm",379
"Hp 14 Laptop, Intel Core i5-1035G1, 8 GB SDRAM, 256GB SSD+16GB Optane, 14-dq1040wm, Pale Gold",449
"Lenovo IdeaPad 5 14.0"" Laptop, Intel Core i5-1035G1 Quad-Core Processor, 8GB Memory ,256GB Solid State Drive, Windows 10 - Platinum Grey - 81YH0017US",549
"Ematic 11.6"" IPS Touchscreen Detachable Laptop with Magnetic Full-Size Keyboard and Windows 10, 2GB RAM, 64GB Storage (EWT131BL)",159
"Lenovo IdeaPad 5 14"" Laptop, AMD Ryzen 7 4700U Octa-Core Processor, 8GB Memory, 256GB Solid State Drive, Windows 10, Graphite Grey, 81YM0060US",589
"Refurbished Apple MacBook Air 11.6"" Laptop Intel Core i5-4260U 1.4GHz 4GB 128GB SSD MD711LLB",475
"Apple MacBook Air Laptop 11.6"", Intel Core-i5, Intel HD Graphics 6000, 128GB SSD Storage, 4GB RAM, Mac OS X Yosemite, MJVM2LL/A",529
"Refurbished HP ProBook 6465b Laptop, AMD A4 Dual Core 2.1GHz, 4GB DDR3, 160GB SATA HDD, DVDRW, 14"", Charger, Windows 10 Home 64bit w/ Restore Partition",229
Dell Latitude E6420 Laptop - HDMI - i5 2.5ghz - 4GB DDR3 - 320GB - DVD - Windows 10 64bit - (Renewed),274
"Refurbished Apple Macbook 13.3"" LED Laptop MC516LL/A 2 Duo P8600 2.4GHz OS X 2GB 250GB",225
"Refurbished Apple Macbook Pro 13.3"" Laptop with Retina Display (Intel Core i5 2.6GHz, 8GB Ram, 128GB SSD)",524
"HP Stream 14-cb011wm, 14"" HD Display, Intel N3060, 4GB RAM, 32GB SSD, Windows 10 Home S Mode, Blue",303
"Apple MacBook Pro 15"" Laptop Intel Quad Core i7 2.3GHz / 8GB DDR3 Memory / 1TB SSHD (Solid State Hybrid) Drive / 1.5GB Video Memory / OS X 10.10 Yosemite / ThunderBolt / USB 3.0 - Refurbished",674
"Certified Refurbished Apple MacBook Air 11.6"" MD711LL/A i5-4250U Dual-Core 1.3GHz 4GB 128GB SSD Laptop",528
"Acer Aspire 5, 15.6"" Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L Notebook Laptop",418
"Certified Refurbished Apple MacBook Pro 13.3"" LED Intel i5-3210M Core 2.5GHz 4GB 500GB Laptop MD101LLA",499
"Legion By Lenovo Y540 15.6"" Gaming Laptop, Intel Core i7-9750H, Nvidia GeForce GTX 1660Ti 6GB Graphics Card, 16GB RAM, 512GB PCIe SSD, Black, 81SX00B5US","1,199"
Apple MacBook Pro Retina 2.4GHz i5 13-inch (Refurbished),699
"Acer Laptop Aspire 5 A517-51G-54GK i5 7th Gen 2.50GHz 8GB RAM 256GB SSD GeForce 940MX 17.3"" Windows 10 Home 64-Bit",899
"Lenovo ideapad 330 15.6"" Laptop, Intel Core i3-8130U Dual-Core Processor, 4GB RAM, 1TB Hard Drive, Windows 10 - Coral Red - 81DE00T0US",499
Refurbished Apple MacBook Pro 15.4 Intel Core i7 2.6GHz 8GB 750GB Laptop MD104LL/A (Scratch and Dent),644
"Apple MacBook Air MD760LL/A 13.3-Inch Laptop (Intel Core i5 Dual-Core 1.3GHz up to 2.6GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0) (Certified Refurbished)",598
Apple MacBook Air 13-inch 1.6GHz Core i5 / 8GB RAM / 256GB SSD Laptop - Refurbished,660
Apple Certified Refurbished A Grade Macbook Pro 15.4-inch Laptop (Glossy) 2.6Ghz Quad Core i7 (Mid 2012) MD104LL/A 750 GB HD 8 GB Memory 1440x900 Display macOS Sierra Power Adapter,644
HP (17-BY1053DX) 17.3 Laptop - Core i5-8265U - 8GB Memory - 256GB Solid State Drive - Windows 10 Home in S Mode - Jet Black/Maglia Pattern,620
"Apple MacBook Air 13.3-Inch Laptop, Intel Core i5, 8GB RAM, 256GB SSD (Refurbished)",679
"HP Business ProBook x360 11 G3 EE 11.6-inch Touchscreen 2-in-1 Laptop PC, Intel Quad Core Celeron N4100 Up to 2.4GHz, 4GB RAM SDRAM 128GB SSD, USB Type C, HDMI, Webcam, Bluetooth, Windows 10 Pro",387
Refurbished Apple A Grade Macbook Pro 15.4-inch Laptop (Glossy) 2.6Ghz Quad Core i7 (Mid 2012) MD104LL/A 750 GB HD 8 GB Memory 1440x900 Display macOS Sierra Power Adapter,644
"Refurbished Dell Latitude E6540 15.6in FHD Business Laptop Computer, Intel Core i7-4800MQ up to 3.7GHz, 8GB RAM, 500GB HDD, USB 3.0, DVD-RW, HDMI, Windows 10 Professional",450
Apple MacBook Pro MF839LL/A 13.3-Inch Laptop with Retina Display i5 2.7ghz 128GB SSD 8GB memory Grade A Refurbished,759
Refurbished Apple MacBook Pro 13.3-Inch Laptop MD101LL/A 2.5GHz / 500GB Hard Drive / 8GB DDR3 Memory very good condition,574
"Refurbished Apple A Grade Macbook Pro, 13.3-inch Laptop (Retina), 2.7Ghz Dual Core i5 (Early 2015) MF839LL/A 256 GB SSD, 8 GB Memory, 2560x1600 Display, Mac OS X v10.12, Sierra Power Adapter",999
Refurbished Apple A Grade Macbook Pro 15.4-inch Laptop (Glossy) 2.6Ghz Quad Core i7 (Mid 2012) MD104LL/A 750 GB HD 8 GB Memory 1440x900 Display macOS Sierra Power Adapter,644
"Refurbished - Apple MacBook Air 11.6"" LED Laptop 1.6GHz Intel i5 4GB 128GB SSD MJVM2LLA",479
"Refurbished Dell E6540 15.6"" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 16GB RAM, 750GB Hard Drive",422
"Dell G7 17 7790 Gaming Laptop, 17.3'' FHD, Intel Core i7-9750H, NVIDIA GeForce RTX 2070, 256 GB SSD, 16GB RAM, G7790-7940GRY-PUS","1,629"
"Legion by Lenovo Y540 17.3"" Gaming Laptop Intel Core i7-9750H Hexa-Core Processor, Nvidia GeForce GTX 1660Ti 6GB Graphics Card, 16GB RAM, 1TB Hard Drive + 256GB PCIe SSD Storage - Black - 81Q4004XUS","1,099"
"Dell Inspiron 14 3480 Laptop, 14'', Intel Core i3-8145U, 4GB RAM, 1TB HDD, Intel UHD Graphics 620, Windows 10 Home, i3480-3879BLK-PUS",335
Refurbished Lenovo Black ThinkPad T420 14'' PC Laptop Intel i5 Dual Core 2.5GHz 4GB RAM 750GB HDD Intel HD Graphics 4000 1600 x 900 Display Windows 10 Professional 64-Bit,399
Refurbished Lenovo ThinkPad T420 i5 2.5GHz 4GB 320GB DRW Windows 10 Pro 64 Laptop Computer B,267
Refurbished Lenovo Black ThinkPad T420 14'' PC Laptop Intel i5 Dual Core 2.5GHz 8GB RAM 160GB HDD Intel HD Graphics 4000 1600 x 900 Display Windows 10 Professional 64-Bit,294
Refurbished Lenovo Black ThinkPad T420 14'' PC Laptop Intel i5 Dual Core 2.5GHz 8GB RAM 500GB HDD Intel HD Graphics 4000 1600 x 900 Display Windows 10 Professional 64-Bit,329
"HP 15.6"" Pentium 4GB/128GB Laptop-Scarlet Red",279
"HP 15-CX0056WM Laptop, 15.6"" FHD, Intel i5-8300H, NVIDIA GTX 1050Ti, 1TB HDD, 8GB RAM, WIN 10",499
"Dell Latitude 3340 Notebook - 13.3"" - Celeron 2957U 1.4GHz - 4 GB RAM - 250 GB HDD - Windows 7 Pro - Includes Case - Refurbished",159
"Dell Inspiron 11 3185 2-in-1 Laptop, 11.6"", AMD A9, 4GB 2400MHz DDR4, 500 GB HDD, Integrated Graphics, Windows 10",439
"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",498
"HP 15.6"" Touchscreen, Intel Core i7-8550U, 4GB SDRAM, 1TB HDD + 16GB Optane memory, 15-da0073wm, Graphite Mist",691
Apple MacBook Pro MD313LL/A 13.3-Inch Laptop (OLD VERSION),589
"15"" Apple Macbook Pro 2.3GHz i7 8GB Memory / 240GB SSD (Turbo Boost to 3.3GHz) - Refurbished",699
"HP 14"" Laptop, AMD Ryzen 3 3200U, 4GB SDRAM, 128GB SSD, Whisper Silver, 14-dk0028wm",388
"Refurbished - Apple MacBook Air 11.6"" LED Laptop 1.6GHz Intel i5 4GB 128GB SSD MJVM2LLA",509
"Lenovo ThinkPad E595 20NF0012US 15.6"" Laptop Ryzen5 3500U 8GB 256GB SSD W10P",716
"Apple MacBook Pro 13.3"" MGX72LL/A Mid 2014 Silver - Intel Core i5-4278U 2.6GHz - 8GB RAM - 128GB SSD (Certified Refurbished)",509
"Certified Refurbished Apple Macbook Pro 15"" i7 2012 [2.6] [750GB] [8GB] MD104LL/A - 90 Day Warranty",644
"Apple 13.3 Inch MacBook Pro Laptop Computer with Touch Bar 256GB SSD (Mid 2018 Version, Silver) MR9U2LL/A Bundle with TYPE-C USB 3.0 Multiport HUB + Mouse + More","1,773"
